# ----- -----
# [Fe/  [O/H 
# H] ([ ]N ([
# Sun]) Sun])
# ----- -----
  0.04  0.11
 -0.38 -0.21
 -0.12  0.06
 -0.21  0.00
 -0.58 -0.30
 -0.36 -0.18
 -0.34 -0.21
 -0.46 -0.23
 -0.09  0.05
 -0.44 -0.27
 -0.36 -0.19
 -0.28 -0.09
  0.12  0.11
 -0.28 -0.15
  0.34  0.33
 -0.69 -0.21
 -0.41 -0.23
 -0.35 -0.11
 -0.41 -0.18
 -0.58 -0.37
 -0.22 -0.04
 -0.50 -0.01
 -0.35 -0.09
 -0.53 -0.09
 -0.21  0.00
 -1.05 -0.53
 -0.32 -0.13
 -0.38 -0.20
  0.05  0.07
 -0.64 -0.30
 -0.41 -0.22
  0.09  0.24
 -0.38  0.03
 -0.39 -0.21
 -0.38 -0.23
 -0.28 -0.04
 -0.61 -0.22
 -0.44 -0.25
 -0.43 -0.18
  0.31  0.25
 -0.14  0.01
 -0.18 -0.06
 -0.35 -0.25
 -0.39 -0.25
 -1.46 -0.94
 -0.35 -0.03
 -0.45 -0.25
 -0.77 -0.25
 -0.84 -0.41
 -0.07  0.04
 -0.33 -0.02
  0.05  0.12
 -0.29  0.13
 -0.48 -0.26
 -0.32 -0.10
 -0.14  0.06
  0.00  0.09
 -0.21 -0.12
 -0.59 -0.20
  0.09  0.17
 -0.38 -0.03
 -0.36 -0.20
  0.03  0.15
 -0.10  0.09
 -0.75 -0.31
 -0.18  0.01
 -0.07  0.05
 -0.34  0.06
  0.18  0.23
  0.17  0.19
 -0.04  0.09
  0.19  0.23
  0.03  0.18
 -0.11  0.01
 -0.23 -0.04
 -0.34 -0.11
 -0.12  0.04
  0.16  0.32
 -0.10  0.11
 -0.47  0.05
 -0.39  0.07
 -0.42 -0.20
 -0.06  0.20
 -0.50  0.00
 -0.19  0.19
 -0.66 -0.13
 -0.20  0.02
 -0.11  0.10
 -0.02  0.14
 -0.50 -0.14
  0.33  0.28
  0.27  0.26
 -0.25 -0.04
 -0.13  0.16
 -0.72 -0.32
 -0.54 -0.32
 -0.39 -0.15
 -0.71 -0.42
 -0.27 -0.06
 -0.03  0.20
 -0.42 -0.04
 -0.47 -0.30
 -0.38 -0.17
 -0.07  0.01
  0.11  0.23
 -0.37 -0.22
 -0.29  0.09
 -0.99 -0.51
  0.10  0.31
 -0.52 -0.30
 -0.58 -0.06
  0.10  0.18
 -0.39  0.04
 -0.40 -0.22
  0.09  0.21
 -0.29 -0.12
 -1.19 -0.69
  0.05  0.12
 -0.13  0.02
 -0.05  0.25
  0.47  0.38
 -0.22 -0.01
 -0.49 -0.26
 -0.35 -0.13
 -0.12 -0.02
 -0.41 -0.22
  0.03  0.23
 -0.14 -0.01
  0.07  0.25
 -0.28  0.05
 -0.47 -0.26
 -0.37 -0.20
 -0.23 -0.05
 -0.74 -0.43
 -0.59 -0.30
 -0.25 -0.15
 -0.49 -0.29
 -0.44 -0.12
 -1.03 -0.62
 -0.76 -0.20
 -0.22 -0.14
 -0.63 -0.30
 -0.68 -0.40
 -0.37 -0.19
 -0.43 -0.22
  0.10  0.25
 -0.17  0.09
 -0.60 -0.40
  0.13  0.31
 -0.70 -0.44
 -0.11  0.06
 -0.24 -0.09
 -0.15 -0.10
 -0.36 -0.20
 -0.27 -0.08
 -0.17  0.07
 -0.39 -0.28
 -0.16 -0.02
 -0.71 -0.33
  0.14  0.20
 -0.24  0.00
 -0.15  0.03
 -0.36 -0.17
 -0.36  0.06
 -1.00 -0.73
 -0.26 -0.12
 -0.04  0.07
 -0.54 -0.39
 -0.23  0.06
 -0.17  0.21
 -0.32 -0.10
 -0.25 -0.11
  0.14  0.17
 -0.40 -0.23
 -0.14  0.00
 -0.35 -0.18
 -0.21 -0.04
 -0.23 -0.05
 -0.26 -0.18
 -0.34 -0.18
 -0.58 -0.36
 -0.40 -0.20
 -0.48 -0.09
 -1.36 -1.16
 -0.28 -0.09
 -0.01  0.11
 -0.20  0.03
 -0.41  0.03
 -0.15 -0.01
 -0.29 -0.16
 -0.42 -0.03
  0.01  0.12
 -0.17  0.04
 -0.14  0.02
 -0.72 -0.20
 -0.49 -0.22
 -0.26 -0.10
 -0.62 -0.37
 -0.11  0.10
  0.01  0.11
  0.13  0.20 
